gradient_model,env,seed_0,run_dir_0,condition_0,seed_1,run_dir_1,condition_1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_0.env,970001,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970001,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970101,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970101,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_1.env,970002,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970002,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970102,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970102,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_2.env,970003,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970003,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970103,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970103,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_3.env,970004,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970004,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970104,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970104,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_4.env,970005,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970005,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970105,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970105,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_5.env,970006,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970006,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970106,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970106,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_6.env,970007,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970007,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970107,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970107,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_7.env,970008,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970008,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970108,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970108,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_8.env,970009,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970009,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970109,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970109,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_9.env,970010,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970010,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970110,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970110,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_10.env,970011,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970011,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970111,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970111,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_11.env,970012,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970012,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970112,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970112,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_12.env,970013,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970013,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970113,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970113,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_13.env,970014,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970014,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970114,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970114,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
